genres,keywords,title,cast,director
Crime Drama,,Deadline - U.S.A.,Humphrey Bogart Ethel Barrymore Kim Hunter Ed Begley Warren Stevens,Richard Brooks
Horror Thriller,nurse psychology suspense blood hospital,Sublime,Tom Cavanagh Jeffrey Anderson-Gunter Cas Anvar Paget Brewster Jordi Caballero,Tony Krantz
Thriller Comedy Horror,snuff,A Beginner's Guide to Snuff,Joey Kern Luke Edwards Bree Williamson Brad Greenquist Perry Laylon Ojeda,Mitchell Altieri
Action Science Fiction,ufo extraterrestrial spaceship alien,Independence Daysaster,Casey Dubois Iain Belcher Andrea Brooks Nicholas Carella Emily Holmes,W.D. Hogan
Comedy Romance,,Dysfunctional Friends,Stacey Dash Reagan Gomez-Preston Wesley Jonathan Persia White Jason Weaver,Corey Grant
Action Drama Thriller,berlin casino nun red hair running,Run Lola Run,Franka Potente Moritz Bleibtreu Herbert Knaup Nina Petri Armin Rohde,Tom Tykwer
Drama Horror Thriller Romance,difficult childhood psychoterror murder loneliness artificial,May,Angela Bettis Jeremy Sisto Anna Faris James Duval Nichole Hiltz,Lucky McKee
Adventure Family,cave plane wreck salmon bears northern canada,Against the Wild,Natasha Henstridge CJ Adams Erin Pitt Ted Whittall Rainbow Francks,Richard Boddington
Drama,independent film woman director,Under the Same Moon,Kate del Castillo Adri\u00e1n Alonso Barona Eugenio Derbez America Ferrera Angelina Pel\u00e1ez,Patricia Riggen
Action Science Fiction,circus pet human being dystopia insurrection,Conquest of the Planet of the Apes,Roddy McDowall Don Murray Ricardo Montalban Hari Rhodes Severn Darden,J. Lee Thompson
Drama Thriller,age difference fishing arbitrary law conductor ex husband,In the Bedroom,Tom Wilkinson Sissy Spacek Nick Stahl Marisa Tomei William Mapother,Todd Field
Thriller Crime Horror,rape fondling revenge writer strangulation,I Spit on Your Grave,Sarah Butler Daniel Franzese Chad Lindberg Jeff Branson Rodney Eastman,Steven R. Monroe
Comedy Crime,small town texas con man fraud independent film,"Happy, Texas",Steve Zahn William H. Macy Jeremy Northam Ally Walker Ron Perlman,Mark Illsley
Drama Thriller Romance,england brother sister relationship becoming an adult northern england female friendship,My Summer of Love,Natalie Press Emily Blunt Paddy Considine Dean Andrews,Pawe\u0142 Pawlikowski
Drama Romance,,The Lunchbox,Irrfan Khan Nimrat Kaur Nawazuddin Siddiqui Denzil Smith Bharati Achrekar,Ritesh Batra
Drama Romance,woman director,Yes,Joan Allen Simon Abkarian Sam Neill Shirley Henderson Stephanie Leonidas,Sally Potter
Comedy Romance,monopoly tycoon house love friends,You Can't Take It With You,Jean Arthur Lionel Barrymore James Stewart Edward Arnold Mischa Auer,Frank Capra
War Drama Romance,hawaii harassment pearl harbor bombing military life,From Here to Eternity,Burt Lancaster Montgomery Clift Deborah Kerr Donna Reed Frank Sinatra,Fred Zinnemann
Western,captain fort retirement attack cavalry,She Wore a Yellow Ribbon,"John Wayne Joanne Dru John Agar Ben Johnson Harry Carey, Jr.",John Ford
Drama Music,christian,Grace Unplugged,AJ Michalka James Denton Kevin Pollak Shawnee Smith Michael Welch,Brad J. Silverman
Comedy Drama,independent film sexual humor drug humor,Foolish,Eddie Griffin Master P Amie Petersen Frank Sivero Daphn\u00e9e Duplaix Samuel,Dave Meyers
Drama Crime Thriller,,N-Secure,Cordell Moore Essence Atkins Denise Boutte Tempestt Bledsoe Lamman Rucker,David M. Matthews
Drama Comedy Romance,women hairdresser sister sister relationship new love unexpected happiness,Caramel,Nadine Labaki Yasmine Al Massri Joanna Moukarzel Gis\u00e8le Aouad Adel Karam,Nadine Labaki
Thriller Horror,,Out of the Dark,Julia Stiles Scott Speedman Stephen Rea Alejandro Furth Pixie Davies,Llu\u00eds Qu\u00edlez
Drama Romance,gay,The Bubble,Ohad Knoller Yousef Sweid Daniella Wircer Alon Friedman Zion Baruch,Eytan Fox
Crime Drama Mystery,san francisco paranoia audio tape wiretap shadowing,The Conversation,Gene Hackman John Cazale Frederic Forrest Cindy Williams Harrison Ford,Francis Ford Coppola
Romance,,Dil Jo Bhi Kahey...,Amitabh Bachchan Revathi Karan Sharma Annabelle Wallis Malcolm Stoddard,Romesh Sharma
Crime Drama Romance,exotic island secret love of one's life plantation marriage,Mississippi Mermaid,Jean-Paul Belmondo Catherine Deneuve Michel Bouquet Nelly Borgeaud Martine Ferri\u00e8re,Fran\u00e7ois Truffaut
Drama Mystery,,I Love Your Work,Marisa Coughlan Judy Greer Shalom Harlow Jared Harris Joshua Jackson,Adam Goldberg
Horror,vacation remake woods burned alive murder,Cabin Fever,Matthew Daddario Samuel Davis Dustin Ingram Eli Roth Gage Golightly,Travis Zariwny
Comedy,waitress unwillingly pregnant woman director,Waitress,Keri Russell Nathan Fillion Andy Griffith Cheryl Hines Eddie Jemison,Adrienne Shelly
Action,martial arts biography sport sensei mixed martial arts,Bloodsport,Jean-Claude Van Damme Bolo Yeung Roy Chiao Philip Chan Yan-Kin Donald Gibb,Newt Arnold
Comedy Drama,corruption washington d.c. senate senator governor,Mr. Smith Goes to Washington,James Stewart Jean Arthur Claude Rains Edward Arnold Guy Kibbee,Frank Capra
Drama Crime,puberty first time,Kids,Leo Fitzpatrick Rosario Dawson Chlo\u00eb Sevigny Justin Pierce Sajan Bhagat,Larry Clark
Comedy Drama,childhood memory uniform independent film private tryst,The Squid and the Whale,Jeff Daniels Laura Linney Jesse Eisenberg Owen Kline William Baldwin,Noah Baumbach
Comedy,jew based on play independent film gay relationship lesbian,Kissing Jessica Stein,Jennifer Westfeldt Tovah Feldshuh Esther Wurmfeld Hillel Friedman Jon Hamm,Charles Herman-Wurmfeld
Action Drama,martial arts kickboxing martial arts tournament reboot thai boxing,Kickboxer: Vengeance,Alain Moussi Dave Bautista Sara Malakul Lane Jean-Claude Van Damme Darren Shahlavi,John Stockwell
Drama Mystery Thriller,amnesia insane asylum suspense,Spellbound,Ingrid Bergman Gregory Peck Michael Chekhov Rhonda Fleming Leo G. Carroll,Alfred Hitchcock
Drama Mystery,secret nightclub pet shop independent film unhappiness,Exotica,Bruce Greenwood Mia Kirshner Elias Koteas Don McKellar Sarah Polley,Atom Egoyan
Romance Comedy Crime Drama,prison gambling compulsive gambling,Buffalo '66,Vincent Gallo Christina Ricci Ben Gazzara Mickey Rourke Rosanna Arquette,Vincent Gallo
Horror Thriller,medium evil spirit house warming aftercreditsstinger,Insidious,Patrick Wilson Rose Byrne Ty Simpkins Barbara Hershey Lin Shaye,James Wan
Comedy Crime Science Fiction Thriller,california cocaine future punk theory,Repo Man,Harry Dean Stanton Emilio Estevez Tracey Walter Olivia Barash Sy Richardson,Alex Cox
Crime Drama Thriller,hotel con man stamp police partner,Nine Queens,Ricardo Dar\u00edn Gast\u00f3n Pauls Leticia Br\u00e9dice Mar\u00eda Mercedes Villagra Gabriel Correa,Fabi\u00e1n Bielinsky
Documentary,israel army intelligence agency shin bet,The Gatekeepers,Ami Ayalon Avraham Shalom Yaakov Peri Carmi Gillon Avi Dichter,Dror Moreh
Drama,female nudity runaway commune egg independent film,The Ballad of Jack and Rose,Daniel Day-Lewis Camilla Belle Catherine Keener Ryan McDonald Paul Dano,Rebecca Miller
Comedy Romance,sex sexuality irony sarcasm naivety,The To Do List,Aubrey Plaza Johnny Simmons Bill Hader Alia Shawkat Sarah Steele,Maggie Carey
Action Crime Drama Thriller,paris prostitute robbery drug abuse aids,Killing Zoe,Eric Stoltz Julie Delpy Jean-Hugues Anglade Tai Thai Bruce Ramsay,Roger Avary
Drama,bomb jewry world war ii jewish life jew,The Believer,Ryan Gosling Summer Phoenix Theresa Russell Billy Zane Joshua Harto,Henry Bean
Drama Romance,suicide depression small town family relationships young love,Snow Angels,Kate Beckinsale Sam Rockwell Michael Angarano Olivia Thirlby Amy Sedaris,David Gordon Green
Thriller Action Horror,,Unsullied,Rusty Joiner Murray Gray James Gaudioso Erin Boyes,Simeon Rice
Horror Mystery,schizophrenia lunatic asylum psychology relation coin,Session 9,Peter Mullan David Caruso Stephen Gevedon Josh Lucas Brendan Sexton III,Brad Anderson
Comedy Romance,independent film,I Want Someone to Eat Cheese With,Jeff Garlin Sarah Silverman Bonnie Hunt Elle Fanning Jessy Schram,Jeff Garlin
Drama,independent film,Mooz-lum,Nia Long Danny Glover Evan Ross Summer Bishil,Qasim Basir
Comedy Horror,new orleans alligator male friendship ax swampf,Hatchet,Joel David Moore Tamara Feldman Deon Richmond Kane Hodder Mercedes McNab,Adam Green
Drama Comedy,factory ambulance invention tramp great depression,Modern Times,Charlie Chaplin Paulette Goddard Henry Bergman Tiny Sandford Chester Conklin,Charlie Chaplin
Drama Family Comedy,,Stolen Summer,Aidan Quinn Bonnie Hunt Kevin Pollak Eddie Kaye Thomas Lisa Dodson,Pete Jones
Comedy Horror,parody parallel world,My Name Is Bruce,Bruce Campbell Grace Thorsen Ted Raimi Adam Boyd Mike Estes,Bruce Campbell
Comedy,independent film,The Salon,Dondre Whitfield Kym Whitley Monica Calhoun Terrence Howard Darrin Henson,Mark Brown
Comedy,road trip stand-up comedy romantic comedy travel,Road Hard,Adam Carolla Diane Farr Larry Miller Mindy Robinson David Koechner,Adam Carolla
Drama Romance,independent film,Forty Shades of Blue,Dina Korzun Rip Torn Darren E. Burrows Andrew Henderson Elizabeth Morton,Ira Sachs
Drama History War,ambush rebel rain village arrest,Amigo,Chris Cooper DJ Qualls Garret Dillahunt Yul Vazquez Lucas Neff,John Sayles
Horror Mystery Science Fiction,disc jockey radio station winter survival zombie,Pontypool,Stephen McHattie Lisa Houle Georgina Reilly Hrant Alianak Rick Roberts,Bruce McDonald
Drama,california sex bar motel highway,Trucker,Michelle Monaghan Nathan Fillion Joey Lauren Adams Jimmy Bennett Mika Boorem,James Mottern
Romance Comedy Drama,,Me You and Five Bucks,,
Horror Thriller,witch coven salem massachusetts satanic,The Lords of Salem,Sheri Moon Zombie Bruce Davison Jeff Daniel Phillips Judy Geeson Meg Foster,Rob Zombie
Horror Comedy Thriller,haunted house father-in-law superstition house arrest basement,Housebound,Morgana O'Reilly Rima Te Wiata Glen-Paul Waru Cameron Rhodes Millen Baird,Gerard Johnstone
Documentary,usa capitalism department store protest community,Wal-Mart: The High Cost of Low Price,Lee Scott Don Hunter Jon Hunter Jeremy Hunter Matt Hunter,Robert Greenwald
Comedy Drama Fantasy Romance Science Fiction,independent film,Fetching Cody,Jay Baruchel Sarah Lind Jim Byrnes Neil Denis Chilton Crane,David Ray
Drama Comedy,,Last I Heard,Paul Sorvino Chazz Palminteri Michael Rapaport Renee Props,David Rodriguez
Comedy Drama,bank robbery,Closer to the Moon,Vera Farmiga Mark Strong Harry Lloyd Anton Lesser Joe Armstrong,Nae Caranfil
Science Fiction,winter mutant post-apocalyptic dystopia meteor,Mutant World,Kim Coates Holly Deveaux Ashanti Amber Marshall Jason Cermak,David Winning
Comedy Family Drama,,Growing Up Smith,Roni Akurati Brighton Sharbino Jason Lee Anjul Nigam Hilarie Burton,Frank Lotito
Thriller Action Crime,,Checkmate,Danny Glover Sean Astin Vinnie Jones Mischa Barton Michael Par\u00e9,Timothy Woodward Jr.
Drama Mystery Horror Thriller,,#Horror,Taryn Manning Natasha Lyonne Chlo\u00eb Sevigny Balthazar Getty Timothy Hutton,Tara Subkoff
Action Horror Thriller,,Wind Walkers,Zane Holtz Glen Powell Kiowa Gordon Castille Landon Johnny Sequoyah,Russell Friedenberg
Fantasy Animation Family,poison witch becoming an adult sadness queen,Snow White and the Seven Dwarfs,Adriana Caselotti Lucille La Verne Harry Stockwell Roy Atwell Pinto Colvig,David Hand
Drama Foreign,hotel teenage girl doctor woman director spanish movie,The Holy Girl,Mar\u00eda Alch\u00e9 Mercedes Mor\u00e1n Carlos Belloso Alejandro Urdapilleta M\u00eda Maestro,Lucrecia Martel
Western,native american gunfighter hunting party,Shalako,Sean Connery Brigitte Bardot Jack Hawkins Stephen Boyd Peter van Eyck,Edward Dmytryk
Adventure Comedy Horror,,Incident at Loch Ness,Werner Herzog Kitana Baker Gabriel Beistain Russell Williams II David A. Davidson,Zak Penn
Drama,undercover dog animal welfare animal rights organization puppy mill,The Dog Lover,Allison Paige James Remar Lea Thompson Jayson Blair Sherry Stringfield,Alex Ranarivelo
Horror Thriller,female nudity sex shower sauna nudity,GirlHouse,Ali Cobrin Erin Agostino James Thomas Alice Hunter Alyson Bath,Jon Knautz
Drama Crime Thriller,murder suspense love affair police interrogation murder trial,The Blue Room,Mathieu Amalric L\u00e9a Drucker St\u00e9phanie Cl\u00e9au Laurent Poitrenaux,Mathieu Amalric
Thriller Horror,ghost story,House at the End of the Drive,James Oliver Jonathan Mangum Alison Raimondi Angela Jones Lance Henriksen,David Worth
Family Adventure Comedy Science Fiction Crime,submarine dc comics missile shark attack rescue,Batman,Adam West Burt Ward Lee Meriwether Cesar Romero Burgess Meredith,Leslie H. Martinson
Comedy Crime,ambush alcohol shotgun tea joint,"Lock, Stock and Two Smoking Barrels",Jason Flemyng Dexter Fletcher Nick Moran Jason Statham Vinnie Jones,Guy Ritchie
Western,,The Ballad of Gregorio Cortez,Edward James Olmos James Gammon Tom Bower,Robert M. Young
Drama,suicide father son relationship child abuse sexual abuse depression,The Celebration,Ulrich Thomsen Henning Moritzen Thomas Bo Larsen Paprika Steen Birthe Neumann,Thomas Vinterberg
Comedy Drama,bar alcoholism independent film drinking,Trees Lounge,Steve Buscemi Chlo\u00eb Sevigny Carol Kane Mark Boone Junior Bronson Dudley,Steve Buscemi
Drama,vietnam independent film,Journey from the Fall,Ki\u1ec1u Chinh Long Nguyen Diem Lien Jayvee Mai The Hiep Khanh Doan,Ham Tran
Drama,,The Basket,Peter Coyote Karen Allen Robert Burke Amber Willenborg Jack MacDonald,Rich Cowan
Horror Comedy,cannibal sleepwalking art teacher,Eddie: The Sleepwalking Cannibal,Thure Lindhardt Dylan Smith Georgina Reilly Alain Goulem Stephen McHattie,Boris Rodriguez
Drama Action,biography,Queen of the Mountains,Elina Abai Kyzy Aziz Muradillayev Nasira Mambetov Adilet Usubaliyev Mirlan Abdulayev,Sadyk Sher-Niyaz
Science Fiction,post-apocalyptic dystopia canuxploitation,Def-Con 4,Lenore Zann Maury Chaykin Kate Lynch Kevin King John Walsch,Paul Donovan
Action Comedy,independent film,The Hebrew Hammer,Adam Goldberg Judy Greer Andy Dick Mario Van Peebles,Jonathan Kesselman
Comedy Romance,musical,Neal 'n' Nikki,Uday Chopra Tanisha Mukherjee Abhishek Bachchan Richa Pallod Gaurav Gera,Arjun Sablok
Comedy,duringcreditsstinger,The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,Bryan Callen Noureen DeWulf Mircea Monroe Stephen Kramer Glickman Austin Michael Scott,Craig Moss
Drama Horror Romance,independent film,Forget Me Not,Carly Schroeder Cody Linley Brie Gabrielle Chloe Bridges Micah Alberti,Tyler Oliver
Drama Mystery,monte carlo based on novel age difference secret obsession,Rebecca,Laurence Olivier Joan Fontaine George Sanders Judith Anderson Nigel Bruce,Alfred Hitchcock
Horror Thriller,camping summer camp gore slasher b horror,Friday the 13th Part 2,Amy Steel John Furey Adrienne King Kirsten Baker Betsy Palmer,Steve Miner
Drama,desperation weekend delirium addiction alcoholism,The Lost Weekend,Ray Milland Jane Wyman Phillip Terry Howard Da Silva Doris Dowling,Billy Wilder
Horror Science Fiction,monster mutant shower police blood splatter,C.H.U.D.,John Heard Daniel Stern Christopher Curry Kim Greist Laure Mattos,Douglas Cheek
Drama,,Filly Brown,Resmine Atis Baby Bash David Bianchi Jorge Diaz Chingo Bling,Michael D. Olmos
Adventure Animation Comedy Family,palm sunday jerusalem judah bethlehem judah,The Lion of Judah,Georgina Cordova Ernest Borgnine Michael Madsen Scott Eastwood,Deryck Broom
Crime Drama Thriller,clock tower infidelity self-defense waterfall delirium,Niagara,Marilyn Monroe Joseph Cotten Jean Peters Max Showalter Denis O'Dea,Henry Hathaway
Drama,wales rural setting coal mining,How Green Was My Valley,Walter Pidgeon Maureen O'Hara Roddy McDowall Donald Crisp Anna Lee,John Ford
Thriller Comedy Romance,,Da Sweet Blood of Jesus,Felicia Pearson Zaraah Abrahams Elvis Nolasco Steven Hauck Stephen Tyrone Williams,Spike Lee
Drama,sexual obsession sex sexuality camcorder spanner,"Sex, Lies, and Videotape",Andie MacDowell Peter Gallagher James Spader Laura San Giacomo Ron Vawter,Steven Soderbergh
Horror Mystery Crime,shotgun based on short film sadist pistol chained,Saw,Cary Elwes Danny Glover Monica Potter Michael Emerson Ken Leung,James Wan
Comedy Crime Mystery,alcohol radio police chief highway cops,Super Troopers,Jay Chandrasekhar Steve Lemme Kevin Heffernan Paul Soter Geoffrey Arend,Jay Chandrasekhar
,,The Algerian,Ben Youcef Candice Coke Harry Lennix Tara Holt Josh Pence,Giovanni Zelko
Comedy Drama,woman director,The Amazing Catfish,Lisa Owen Ximena Ayala Sonia Franco Wendy Guill\u00e9n Andrea Baeza,Claudia Sainte-Luce
Comedy Drama Romance,child abuse adultery arranged marriage bollywood wedding,Monsoon Wedding,Naseeruddin Shah Lillete Dubey Vijay Raaz Tillotama Shome Vasundhara Das,Mira Nair
Drama Romance,independent film,You Can Count on Me,Laura Linney Mark Ruffalo Matthew Broderick Jon Tenney Rory Culkin,Kenneth Lonergan
Comedy Mystery Thriller,small town chase wife leave murder,The Trouble with Harry,Edmund Gwenn John Forsythe Shirley MacLaine Mildred Natwick Mildred Dunnock,Alfred Hitchcock
Comedy,coming out cheerleader homosexuality independent film lesbian,But I'm a Cheerleader,Natasha Lyonne Brandt Wille Bud Cort Michelle Williams RuPaul,Jamie Babbit
Drama,baseball,Home Run,Scott Elrod Dorian Brown Charles Henry Wyson James Devoti Nicole Leigh,David Boyd
Crime Thriller,traitor jewelry psychopath thief heist,Reservoir Dogs,Harvey Keitel Tim Roth Michael Madsen Chris Penn Steve Buscemi,Quentin Tarantino
Drama Family Fantasy,bird,The Blue Bird,Shirley Temple Spring Byington Nigel Bruce Gale Sondergaard Eddie Collins,Walter Lang
Western,bounty hunter refugee gold anti hero gallows,"The Good, the Bad and the Ugly",Eli Wallach Clint Eastwood Lee Van Cleef Aldo Giuffr\u00e8 Luigi Pistilli,Sergio Leone
Drama,brazilian brazil pool mother daughter relationship architecture,The Second Mother,Regina Cas\u00e9 Michel Joelsas Camila M\u00e1rdila Karine Teles Louren\u00e7o Mutarelli,Anna Muylaert
Drama Comedy,book store,Blue Like Jazz,Marshall Allman Claire Holt Tania Raymonde Justin Welborn Eric Lange,Steve Taylor
Comedy Music,,Down & Out With The Dolls,,
Documentary,marketing breast cancer corporatism woman director,"Pink Ribbons, Inc.",Samantha King Barbara Brenner Barbara Ehrenreich Nancy Brinker Susan Love,L\u00e9a Pool
Comedy,,Certifiably Jonathan,Jonathan Winters Robin Williams Sarah Silverman Patricia Arquette,James David Pasternak
Drama Romance,france female nudity sex sexuality love,Desire,D\u00e9borah R\u00e9vy H\u00e9l\u00e8ne Zimmer Gowan Didi Johnny Amaro Johan Lib\u00e9reau,Laurent Bouhnik
Drama Comedy,peru,The Blade of Don Juan,Juan Carlos Montoya Rodrigo Viaggio Irma Maury Antonio Arru\u00e9 Viviana Andrade,Tom Sanchez
Crime Comedy Drama Adventure,1970s rock star chase musician independent film,Grand Theft Parsons,Johnny Knoxville Christina Applegate Gabriel Macht Marley Shelton Robert Forster,David Caffrey
Comedy,,Extreme Movie,Patrick J. Adams Ryan Pinkston Denise Boutte Michael Cera Frankie Muniz,Adam Jay Epstein
Action Adventure Drama War,ambush british army fort invasion attack,The Charge of the Light Brigade,Errol Flynn Olivia de Havilland Patric Knowles Henry Stephenson Nigel Bruce,Michael Curtiz
Thriller Horror,screenwriter,Below Zero,Edward Furlong Michael Berryman Kristin Booth Michael Eisner Dee Hanna,Justin Thomas Ostensen
,,Crowsnest,,
Action Adventure Comedy,sport rollerblade,Airborne,Shane McDermott Seth Green Brittney Powell Chris Conrad Edie McClurg,Rob Bowman
Action Adventure,blaxploitation,Cotton Comes to Harlem,Godfrey Cambridge Raymond St. Jacques Calvin Lockhart Judy Pace Redd Foxx,Ossie Davis
Horror,,The Wicked Within,Sienna Guillory Gianni Capaldi Enzo Cilenti Michele Hicks Sonja Kinski,Jay Alaimo
Horror,,Bleeding Hearts,Robert Loggia Charles Durning Tony Todd Dustin Diamond Wilson Jermaine Heredia,Dylan Bank
Comedy,decision waiter hostess trainee gross out,Waiting...,Ryan Reynolds Anna Faris Justin Long David Koechner Luis Guzm\u00e1n,Rob McKittrick
Drama Thriller Crime,rage and hate brother revenge punishment home movie footage,Dead Man's Shoes,Paddy Considine Gary Stretch Toby Kebbell Jo Hartley Seamus O'Neill,Shane Meadows
Comedy Horror,civil war narration voodoo necrophilia anthology,From a Whisper to a Scream,Vincent Price Clu Gulager Terry Kiser Rosalind Cash Cameron Mitchell,Jeff Burr
Documentary,,Sex With Strangers,,
Horror,dracula independent film,Dracula: Pages from a Virgin's Diary,Wei-Qiang Zhang Tara Birtwhistle David Moroni CindyMarie Small Johnny A. Wright,Guy Maddin
Drama,christian film food,Faith Like Potatoes,Frank Rautenbach Jeanne Neilson Hamilton Dlamini Sean Cameron Michael Rochelle Buchan,Regardt van den Bergh
Fantasy Science Fiction Horror,commune suspense mad doctor captive drugged,Beyond the Black Rainbow,Michael Rogers Scott Hylands Marilyn Norry Eva Allan Rondel Reynoldson,Panos Cosmatos
Action Thriller Crime,crime boss tenement high rise monitor tower block,The Raid,Iko Uwais Joe Taslim Donny Alamsyah Yayan Ruhian Ray Sahetapy,Gareth Evans
Horror Science Fiction Action,vampire zombie vanity project mad cow disease,The Dead Undead,Luke Goss Joshua Alba Matthew R. Anderson Laura Chinn Cameron Goodman,Matthew R. Anderson
Horror Documentary Mystery,exorcism,The Vatican Exorcisms,Joe Marino,Joe Marino
Drama Romance,love triangle corruption spy resistance casablanca,Casablanca,Humphrey Bogart Ingrid Bergman Paul Henreid Claude Rains Conrad Veidt,Michael Curtiz
Horror Thriller,supernatural drama,Lake Mungo,Talia Zucker Rosie Traynor David Pledger Martin Sharpe Steve Jodrell,Joel Anderson
Drama Comedy Romance,ambition bollywood business india struggling career,Rocket Singh: Salesman of the Year,Ranbir Kapoor Sumeet Darshan Dobhal Gauhar Khan Shazahn Padamsee Prem Chopra,Shimit Amin
Adventure Drama Science Fiction,space marine sunlight plants space travel saturn,Silent Running,Bruce Dern Cliff Potts Ron Rifkin Jesse Vint Steven Brown,Douglas Trumbull
Drama,underdog philadelphia transporter italo-american fight,Rocky,Sylvester Stallone Talia Shire Burt Young Carl Weathers Burgess Meredith,John G. Avildsen
Drama,woman director young couple secluded family estate,The Sleepwalker,Christopher Abbott Brady Corbet Stephanie Ellis Gitte Witt,Mona Lerche
Adventure Comedy History Romance,from rags to riches tutor squire,Tom Jones,Albert Finney Susannah York Hugh Griffith Edith Evans Joan Greenwood,Tony Richardson
Horror Thriller,computer bullying revenge internet teenager,Unfriended,Shelley Hennig Moses Jacob Storm Renee Olstead William Peltz Jacob Wysocki,Levan Gabriadze
Crime Drama,vietnam veteran taxi obsession drug dealer night shift,Taxi Driver,Robert De Niro Cybill Shepherd Harvey Keitel Jodie Foster Peter Boyle,Martin Scorsese
Drama Horror,insane asylum werewolf newswoman,The Howling,Patrick Macnee Dennis Dugan Christopher Stone Belinda Balaski Kevin McCarthy,Joe Dante
Adventure Action Thriller,london england england assassination spy casino,Dr. No,Sean Connery Ursula Andress Joseph Wiseman Jack Lord Bernard Lee,Terence Young
Horror Thriller,radiation ukraine nuclear radiation tourist nuclear power plant,Chernobyl Diaries,Jesse McCartney Jonathan Sadowski Olivia Taylor Dudley Ingrid Bols\u00f8 Berdal Alex Feldman,Bradley Parker
Horror,underworld seduction supernatural pinhead revenge,Hellraiser,Andrew Robinson Clare Higgins Ashley Laurence Sean Chapman Oliver Smith,Clive Barker
Drama,christian,God's Not Dead 2,Hayley Orrantia Melissa Joan Hart Jesse Metcalfe David A.R. White Ray Wise,Harold Cronk
Horror Thriller,murder serial killer student rumor,Cry_Wolf,Julian Morris Lindy Booth Jared Padalecki Jon Bon Jovi Sandra McCoy,Jeff Wadlow
Adventure Horror Action Science Fiction,japan monster flying saucer godzilla city,Godzilla 2000,Takehiro Murata Naomi Nishida Mayu Suzuki Hiroshi Abe Shir\u00f4 Sano,Takao Okawara
Drama Romance,dancing nurse depression classroom bridge,Blue Valentine,Ryan Gosling Michelle Williams Mike Vogel John Doman Faith Wladyka,Derek Cianfrance
Drama,individual gay new york usa missionary,Transamerica,Felicity Huffman Kevin Zegers Elizabeth Pe\u00f1a Danny Burstein Maurice Orozco,Duncan Tucker
Thriller Horror,rome exorcism death demonic possession found footage,The Devil Inside,Fernanda Andrade Simon Quarterman Evan Helmuth Ionut Grama Suzan Crowley,William Brent Bell
Comedy Drama Thriller,pop pop star musical,Beyond the Valley of the Dolls,Dolly Read Cynthia Myers Marcia McBroom John Lazar Michael Blodgett,Russ Meyer
Drama Action Western Music Romance,civil war,Love Me Tender,Richard Egan Debra Paget Elvis Presley Robert Middleton William Campbell,Robert D. Webb
Documentary,climate change greenhouse effect climate earth global warming,An Inconvenient Truth,Al Gore Billy West Ronald Reagan George W. Bush George H. W. Bush,Davis Guggenheim
Action Drama History War,sergeant iwo jima,Sands of Iwo Jima,John Wayne John Agar Adele Mara Forrest Tucker Wally Cassell,Allan Dwan
Documentary Music,new york film director legend song public,Shine a Light,Mick Jagger Keith Richards Charlie Watts Ronnie Wood Christina Aguilera,Martin Scorsese
Action Adventure Horror Thriller,chile gore jungle extreme violence cannibal,The Green Inferno,Lorenza Izzo Ariel Levy Sky Ferreira Nicolas Martinez Kirby Bliss Blanton,Eli Roth
Drama Romance Family,gay,Departure,Juliet Stevenson Alex Lawther Ph\u00e9nix Brossard Finbar Lynch Niamh Cusack,Andrew Steggall
Drama Romance Comedy,cat virgin narration wheelchair graduation,The Sessions,John Hawkes Helen Hunt William H. Macy Moon Bloodgood Annika Marks,Ben Lewin
Documentary,food industry monsanto organic food sustainable griculture,"Food, Inc.",Michael Pollan Eric Schlosser Richard Lobb Vince Edwards Carole Morison,Robert Kenner
Drama,adoption college,October Baby,Rachel Hendrix  Jason Burkey Robert Amaya  John Schneider,Andrew Erwin
Comedy Drama Romance,independent film,Next Stop Wonderland,Hope Davis Philip Seymour Hoffman Holland Taylor Alan Gelfant Jason Lewis,Brad Anderson
Drama,new york adultery confession brother sister relationship infidelity,The Skeleton Twins,Kristen Wiig Bill Hader Luke Wilson Ty Burrell Boyd Holbrook,Craig Johnson
Drama Thriller,sexual abuse cult boundary violations mumblegore,Martha Marcy May Marlene,Elizabeth Olsen Hugh Dancy John Hawkes Sarah Paulson Brady Corbet,Sean Durkin
Comedy Romance,independent film woman director,Obvious Child,Jenny Slate Jake Lacy Gaby Hoffmann Paul Briganti Stephen Singer,Gillian Robespierre
Drama,human trafficking woman director,Frozen River,Melissa Leo Misty Upham Charlie McDermott John Canoe Jay Klaitz,Courtney Hunt
Documentary Music,,20 Feet from Stardom,Bette Midler Mick Jagger Sting Sheryl Crow Bruce Springsteen,Morgan Neville
Drama Romance,love revenge loft analingus actor,Two Girls and a Guy,Robert Downey Jr. Natasha Gregson Wagner Heather Graham Angel David Frederique van der Wal,James Toback
Comedy Drama Romance,independent film woman director,Walking and Talking,Catherine Keener Anne Heche Liev Schreiber Randall Batinkoff Amy Braverman,Nicole Holofcener
Documentary,energy supply automobile industry independent film,Who Killed the Electric Car?,Martin Sheen Mel Gibson Tom Hanks,Chris Paine
Comedy Drama Romance,gay roommate male friendship in vitro fertilisation romantic comedy,The Broken Hearts Club: A Romantic Comedy,Ben Weber Timothy Olyphant Matt McGrath Zach Braff Dean Cain,Greg Berlanti
